               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.016702,           0.0078196,          0.00086875,             0.88737,             0.87208,             0.90133,             0.71052,            0.010862,           0.0050791,          0.00064584,           0.0056935,           0.0056935,           0.0056935
                  89,            0.016288,           0.0075869,          0.00070658,             0.88254,             0.87482,             0.90307,             0.71409,            0.010873,           0.0052083,          0.00062343,            0.005644,            0.005644,            0.005644
                  90,            0.016219,              0.0076,          0.00061599,             0.88582,             0.88356,             0.90684,             0.71548,            0.010851,           0.0052112,          0.00070352,           0.0055945,           0.0055945,           0.0055945
                  91,            0.016262,           0.0074459,          0.00066983,             0.88874,             0.87917,             0.90579,             0.71385,            0.010828,           0.0052017,          0.00070206,            0.005545,            0.005545,            0.005545
                  92,            0.015936,           0.0073896,          0.00063194,             0.90628,              0.8605,             0.90424,             0.71499,            0.010798,           0.0051959,          0.00073375,           0.0054955,           0.0054955,           0.0054955
                  93,            0.016249,           0.0075748,           0.0006867,             0.89834,             0.85537,             0.90361,             0.71646,            0.010757,           0.0051604,           0.0011021,            0.005446,            0.005446,            0.005446
                  94,            0.016112,           0.0075027,          0.00076106,             0.89821,             0.86579,             0.90405,             0.71437,            0.010668,           0.0050675,          0.00093299,           0.0053965,           0.0053965,           0.0053965
                  95,            0.016069,           0.0075134,          0.00069673,             0.90908,             0.84756,             0.90414,             0.71252,            0.010668,           0.0050415,          0.00090235,            0.005347,            0.005347,            0.005347
                  96,            0.015711,           0.0074119,          0.00068279,             0.87405,             0.87347,             0.89966,             0.71338,            0.010689,            0.005038,          0.00091001,           0.0052975,           0.0052975,           0.0052975
                  97,            0.015632,           0.0071912,          0.00069617,             0.88707,              0.8568,             0.89962,             0.71419,            0.010678,           0.0050663,           0.0010671,            0.005248,            0.005248,            0.005248
                  98,            0.015734,           0.0073278,          0.00072952,             0.89861,             0.85934,             0.90243,             0.71392,            0.010659,            0.005102,           0.0010128,           0.0051985,           0.0051985,           0.0051985
                  99,            0.015578,           0.0073445,          0.00057137,             0.89366,             0.86521,             0.90315,             0.71525,              0.0107,             0.00514,          0.00088737,            0.005149,            0.005149,            0.005149
                 100,             0.01562,           0.0072495,          0.00077072,             0.88827,              0.8697,             0.90325,             0.71668,            0.010703,           0.0051118,           0.0009393,           0.0050995,           0.0050995,           0.0050995
                 101,            0.015438,           0.0074289,          0.00057819,             0.88167,              0.8831,               0.902,             0.71524,            0.010736,           0.0051163,           0.0008694,             0.00505,             0.00505,             0.00505
                 102,             0.01543,           0.0071306,           0.0006331,             0.88502,             0.87568,             0.90027,             0.71588,            0.010741,           0.0051079,          0.00083362,           0.0050005,           0.0050005,           0.0050005
                 103,            0.015518,           0.0072744,          0.00069366,             0.88473,             0.87432,             0.90099,             0.71717,            0.010717,           0.0050898,          0.00080908,            0.004951,            0.004951,            0.004951
                 104,             0.01549,           0.0073098,           0.0007625,             0.90357,             0.85516,             0.90147,             0.71671,            0.010697,           0.0050753,          0.00083668,           0.0049015,           0.0049015,           0.0049015
                 105,            0.015244,           0.0072433,          0.00057796,             0.90143,             0.85481,             0.90244,             0.71792,            0.010651,            0.005041,          0.00078909,            0.004852,            0.004852,            0.004852
                 106,            0.015158,           0.0072878,          0.00071182,             0.91557,             0.84354,             0.90409,             0.72042,             0.01059,           0.0049875,          0.00078288,           0.0048025,           0.0048025,           0.0048025
                 107,            0.015145,           0.0071756,          0.00060266,             0.88246,             0.86789,              0.9041,             0.72041,            0.010562,           0.0049825,          0.00074431,            0.004753,            0.004753,            0.004753
                 108,            0.015143,           0.0071612,          0.00062551,             0.89525,             0.86008,              0.9039,             0.72102,            0.010555,           0.0050067,           0.0007521,           0.0047035,           0.0047035,           0.0047035
                 109,            0.015228,           0.0071734,          0.00058676,             0.90006,             0.85436,             0.90282,             0.72201,            0.010523,           0.0050281,          0.00079585,            0.004654,            0.004654,            0.004654
                 110,            0.014921,           0.0069737,          0.00062728,             0.89725,             0.85734,             0.90262,             0.72234,            0.010515,           0.0050332,          0.00075554,           0.0046045,           0.0046045,           0.0046045
                 111,            0.015069,           0.0070635,          0.00062013,             0.89744,             0.86256,             0.90399,             0.72152,              0.0105,           0.0050405,          0.00073498,            0.004555,            0.004555,            0.004555
                 112,            0.014909,           0.0069865,          0.00052319,              0.8895,             0.86806,             0.90505,             0.72236,            0.010481,           0.0050373,          0.00072403,           0.0045055,           0.0045055,           0.0045055
                 113,            0.014898,           0.0069555,          0.00054924,             0.88672,             0.87401,             0.90693,              0.7218,            0.010495,           0.0050344,          0.00070145,            0.004456,            0.004456,            0.004456
                 114,            0.014679,           0.0069974,          0.00073244,             0.89329,             0.86601,             0.90673,             0.72222,            0.010479,           0.0050432,          0.00065786,           0.0044065,           0.0044065,           0.0044065
                 115,            0.014739,           0.0069407,           0.0005375,             0.89293,              0.8689,              0.9061,             0.72366,            0.010458,           0.0050358,           0.0006278,            0.004357,            0.004357,            0.004357
                 116,            0.014569,           0.0068236,          0.00056428,             0.89592,              0.8659,             0.90661,             0.72391,            0.010433,           0.0050169,          0.00061927,           0.0043075,           0.0043075,           0.0043075
                 117,            0.014774,           0.0068959,          0.00058439,             0.89527,             0.86343,             0.90572,             0.72214,            0.010417,           0.0050116,          0.00060738,            0.004258,            0.004258,            0.004258
                 118,            0.014532,           0.0068374,          0.00058685,             0.89571,             0.86463,             0.90574,             0.72344,            0.010398,           0.0049984,          0.00059175,           0.0042085,           0.0042085,           0.0042085
                 119,             0.01443,           0.0068144,           0.0005399,             0.91201,             0.85231,             0.90506,             0.72384,            0.010381,           0.0049955,          0.00057899,            0.004159,            0.004159,            0.004159
                 120,            0.014423,           0.0067856,          0.00051249,             0.89126,              0.8732,             0.90538,             0.72349,            0.010383,           0.0050125,          0.00058852,           0.0041095,           0.0041095,           0.0041095
                 121,            0.014281,           0.0067089,          0.00048141,             0.89358,             0.87356,             0.90563,             0.72457,             0.01039,           0.0050224,          0.00059385,             0.00406,             0.00406,             0.00406
                 122,            0.014184,           0.0067465,          0.00050901,             0.88947,             0.87787,             0.90547,             0.72404,            0.010391,           0.0050313,          0.00059013,           0.0040105,           0.0040105,           0.0040105
                 123,            0.014198,           0.0066861,          0.00052502,             0.89637,             0.86408,             0.90477,             0.72317,            0.010398,           0.0050419,          0.00060047,            0.003961,            0.003961,            0.003961
                 124,            0.014247,           0.0066781,          0.00053715,              0.8794,             0.88099,             0.90453,             0.72203,            0.010404,           0.0050521,          0.00061869,           0.0039115,           0.0039115,           0.0039115
                 125,            0.014183,            0.006627,          0.00058648,             0.87993,              0.8811,             0.90413,             0.72367,            0.010401,            0.005052,          0.00061936,            0.003862,            0.003862,            0.003862
                 126,            0.013923,           0.0065932,          0.00050849,             0.89285,             0.87353,             0.90466,             0.72344,            0.010389,           0.0050595,          0.00063316,           0.0038125,           0.0038125,           0.0038125
                 127,            0.013966,           0.0066666,          0.00047482,              0.8996,             0.86676,             0.90403,             0.72462,             0.01038,           0.0050643,          0.00065876,            0.003763,            0.003763,            0.003763
                 128,            0.013797,           0.0065108,          0.00044326,             0.90192,             0.87026,             0.90558,             0.72299,            0.010368,           0.0050826,          0.00071509,           0.0037135,           0.0037135,           0.0037135
                 129,            0.013601,           0.0064988,          0.00045548,             0.90467,             0.86821,             0.90493,             0.72347,             0.01036,            0.005099,          0.00074206,            0.003664,            0.003664,            0.003664
                 130,            0.013643,           0.0065294,          0.00045154,             0.90814,              0.8616,             0.90449,             0.72333,            0.010362,           0.0051105,          0.00074403,           0.0036145,           0.0036145,           0.0036145
                 131,            0.013612,           0.0064548,          0.00049276,             0.90913,             0.86076,             0.90442,             0.72246,             0.01036,           0.0051245,          0.00073407,            0.003565,            0.003565,            0.003565
